Name,Service / Project,Service in folder,Website,Email,Main Tag,Second Tag,Third Tag ,Timings ,Who's it for?,Location,Notes,,,,,,,,,,,,,,,,,,,
Esme's Umbrella ,People with Charles Bonnett Syndrome (blind),,charlesbonnetsyndrome.uk/about/,,Blind,Advice,Social Isolation,,,,,,,,,,,,,,,,,,,,,,,
English Conversation Class,Free session for learning English,No,,7984592826,Adults,Education,free,"Wednesdays 1-2.30pm, Thursdays 9.30-11.30am(Women)",Men & Women,"The Good Shepherd Mission, 17 Three Colts Lane, E2 6JL",,,,,,,,,,,,,,,,,,,,
Expressions with art,Art sessions. Mental health friendly,,,expressionswithart.org/ info@expressionswithart.org  07956391913 or 07904310867,Fine Arts,social,Group,,All,E14 3BN,,,,,,,,,,,,,,,,,,,,
Eye matter,Support/activities for blind/partially sighted (free membership),,www.eyematter.org.uk/,,Blind,Free,Wellness,,Blind/partially sighted people ,service/activity dependent,,,,,,,,,,,,,,,,,,,,
Fairbridge Clinic ,Low fee therapy service ,,agip.org.uk/,,Mental Health,Counselling,Low Cost,,All,N19 3EW,,,,,,,,,,,,,,,,,,,,
Fair Money advice,Money Advice,No,https://fairfinance.org.uk/advice/,info@fairmoneyadvice.co.uk,Money,Advice,Free,,,"530 Commercial road, London, E1 0HY",,,,,,,,,,,,,,,,,,,,
Feldy May Programme,The centre specialises in health and wellbeing activities.,No,https://www.poplarharca.co.uk/get-involved/community-centres/centre/feldy/,,Wellness,,,,All,"18 Aberfeldy Sq, E14 0XA",,,,,,,,,,,,,,,,,,,,
Faith Regen DV services ,Support for DV victims in TH and other boroughs ,,,t.habib@thefrf.org,DV,Victim,Mental Health,,DV victims ,E1 1JX/ E7 8LJ,,,,,,,,,,,,,,,,,,,,
Faith Regen DV services + Home Office ,"1:1 case work, DV trauma awareness, financial management, other",,,7951276749,DV,Counselling,Multi-Purpose,,Victims of DV ,N11 2UT ,,,,,,,,,,,,,,,,,,,,
Family Hubs,Family well being support,No,https://www.thfamilyhubs.co.uk/,,Family,Advice,,,,,,,,,,,,,,,,,,,,,,,,
Family Action,Family grant support and life skills programmes ,,www.family-action.org.uk/,,Grants,Family,Courses,,All,"Hackney, but TH residents can apply for grants too (some of their offers are national). They also do a 'LifeSkills' programme for many London boroughs residents atm.",,,,,,,,,,,,,,,,,,,,
Family Action,,,www.family-action.org.uk/,,Multi-Purpose,Wellness,Family,,"All with family issues, general wellbeing issues ",E9 6FJ,,,,,,,,,,,,,,,,,,,,
Family Action,Food onour doorstep service,No,www.family-action.org.uk/,Londonfoodclubs@family-action.org.uk,Food,Family,,,,,,,,,,,,,,,,,,,,,,,,
Family Lives Newsletter ,Parenting courses and managing sibling arguments etc. ,,www.familylives.org.uk/-26?referer=/browse/105716?page%3D12 ,,Parenting,Courses,Carer,,"Parents, carers ",Online,,,,,,,,,,,,,,,,,,,,
Family Lives Newsletter ,Support (discuss concerns on helpline) ,,"0808 800 2222 (helpline) 
",,Mental Health,Family,Counselling,,Family ,phone ,,,,,,,,,,,,,,,,,,,,
Family Rights Group,Support around child welfare processes,,frg.org.uk/get-help-and-advice/,,Advice,Benefits Advice,Parenting,,All,N1 9LG/online ,,,,,,,,,,,,,,,,,,,,
Fat Macy's,"Helping people living in hostels into hospitality work and housing, local restaurant is Sohaila",,Fat Macy's - A pathway from hostel to home (fatmacys.org),,Employment,Housing,50+,,,,,,,,,,,,,,,,,,,,,,,
"Finance, Benefit and Debt Commissioned Rehabilitative Services","Finance, Benefit and Debt Commissioned Rehabilitative Services",,www.catch-22.org.uk/find-services/finance-benefit-debt/ ,,Prison,1to1,Multi-Purpose,,Prison Leavers ,EC1V 3AG  (head office),,,,,,,,,,,,,,,,,,,,
Financial Health Centre,Financial/employment advice ,,www.towerhamletshomes.org.uk/financial-health-centre,,Employment,Finances,Advice,,All ,E1 4EB,,,,,,,,,,,,,,,,,,,,
First Love Foundation,Poverty/food/housing advice : https://firstlovefoundation.typeform.com/to/fmNvNC (referral form for partners),,www.firstlovefoundation.org.uk/,,Poverty,Housing,Food,,All (referrals temporarily closed) ,E14 2BG,,,,,,,,,,,,,,,,,,,,
FLOWS Finding Legal Options for Women Survivors,Experts from the Family Team of the Royal Courts of Justice RCJ Advice,,FLOWS | Finding Legal Options for Women Survivors,,DV Domestic Violence,Legal Advice,Women,,,"Online, phone + local partners",,,,,,,,,,,,,,,,,,,,
Food Store,Fresh food for reduced fee. council run,,www.towerhamlets.gov.uk/lgnl/advice_and_benefits/cost-of-living/Help-with-food.aspx and this leaflet (though out of date): thcvs.org.uk/wp-content/uploads/2022/08/FoodStroe_A5_2pp.pdf would be good if you could contact them if they can send a new leaflet,,Food,Practical Help,Cost of Living,,,Several locations in TH,,,,,,,,,,,,,,,,,,,,
Foodcycle,Meals and community hub,,foodcycle.org.uk/who-we-are/,hello@foodcycle.org.uk,Food,Social,Loneliness,,All,E9 7LP/E1/E3 4LY,,,,,,,,,,,,,,,,,,,,
Forest Fridays,After School Club,,Bethnal Green Nature Reserve,,Child,Free,Nature,Fridays 4-5.30 during term time,Children,"Bethnal Green Nature Reserve, Middleton St, E2 9RR",,,,,,,,,,,,,,,,,,,,
Forward Trust,"Drug/alcohol issues, disability, unemployment, mental health issues",,Forward Trust,,Disability,Substance Misuse,Employment,,All,SE11 5DP,,,,,,,,,,,,,,,,,,,,
Free 2 Learn ,Courses for low income/unemployed ,,free2learn.org.uk/application-form/#gf_18,,Courses,Low Cost,Employment,,19+ ,Course dependent ,,,,,,,,,,,,,,,,,,,,
Free School Meals ,Free school meals ,,www.towerhamlets.gov.uk/lgnl/education_and_learning/school_finance_and_support/free_school_meals.aspx,,Meal,Food,Child,,Disadvantaged ,-,,,,,,,,,,,,,,,,,,,,
FRF'S Sister's Crisis Hub,"Advice, guidance and financial management support",No,,,,Adults,Advice,,"Refugees, asylum seekers, doemstic violence victims","London Muslim Centre, E1 1JX",,,,,,,,,,,,,,,,,,,,
Friends of TH Cemetery Park,"Activities for adults, families and children. Volunteering ",,fothcp.org/events/,,Nature,Free,Exercise,,"Children, families, adults ",E3 4PX ,,,,,,,,,,,,,,,,,,,,
"Fun, Football & Fitness",Play or try sports,No,,,Women,,,First and third Saturday of the month at 12.00- starting May 25 onwards,,"John Orwell Sports Centre, Tench Street, London, E1W 2QD",,,,,,,,,,,,,,,,,,,,
Furniture reuse,Second hand furniture selling ,,furniturereuse.co.uk/?syclid=ci1ftmuf216nnpcjv79g&utm_campaign=emailmarketing_163444850997&utm_medium=email&utm_source=shopify_email,,Low Cost,Practical Help,Cost of Living,,All,E15 1JW,,,,,,,,,,,,,,,,,,,,
Future Learn,Educational courses,,www.futurelearn.com/,,Courses,Free,Online,,All,Online,,,,,,,,,,,,,,,,,,,,
GFS Mile End,Girls group (£2),,girlsfriendlysociety.org.uk/gfs-groups/group-finder/mile-end/,,Girls,Group,Social,,Girls school yrs 1-6 (most are ages 8-10),E3 4GY,,,,,,,,,,,,,,,,,,,,
Girls Rock London ,Week long music focused summer camp (beginners welcome) ,,www.girlsrocklondon.com/,,Girls,BAME,LGBTQ+,,girls 11-16 of colour/LGBT ,Hackney,,,,,,,,,,,,,,,,,,,,
Good Moves- Social Action for Health,Free Lifestyle course ,,www.safh.org.uk/good-moves,,Exercise,Wellness,Social,On Monday mornings in Mission Practice,"18+ with long term health conditions: Diabetes, Heart, Kidney conditions or Hypertension",Several locations in TH. On Mondays in Mission Practice (usually this one for Bengali women),,,,,,,,,,,,,,,,,,,,
Great Ormond Street Hospital ,Complications from Excess Weight ,,,gos-tr.cew@nhs.net,Weight,Child,Youth,,Children and young adults ,Great Ormond Street,,,,,,,,,,,,,,,,,,,,
Green candle dance company,Dance,,www.greencandledance.com/,,Fine Arts,Exercise,Group,,All who wouldn't have normal access,E2 6HG,,,,,,,,,,,,,,,,,,,,
Green Doctors ,Advice on reducing home bills through living greener ,,groundwork.my.salesforce-sites.com/enquiry/,,Cost of Living,Online,Low Cost,,All,N/A,,,,,,,,,,,,,,,,,,,,
Growbaby,Provide free new/second hand clothes (for 0-5 children) ,,Growbaby Newham,growbaby@highwayvineyard.org,Baby,Childcare,Free,,children aged 0-5,"Highway vineyard church, 88a Romford road, E15 4EH",,,,,,,,,,,,,,,,,,,,
GrowTH,Nightshelter via churches in TH. Oct - April,,GrowTH (thisisgrowth.org),,Homeless,Housing,Christian,,,,,,,,,,,,,,,,,,,,,,,
Guild of Psychotherapists ,Psychotherapy on a sliding scale,,guildofpsychotherapists.org.uk/psychotherapy/reduced-fee-clinic/,,Mental Health,Low Cost,Counselling,,All,SE1 0QA,,,,,,,,,,,,,,,,,,,,
Hackney Children and Baby Bank ,free children's items ,,www.hackneybabybank.com/ ,,Child,Practical Help,Free,,Those with children requiring financial support ,hackney based ,,,,,,,,,,,,,,,,,,,,
Hackney Chinese Community Service,General community and wellbeing for ESEA in Hackney and surrounding boroughs,,www.hackneychinese.org.uk/,,Chinese,Group,Social,,All (mainly acters for Hackney residents) ,E8 3PA,,,,,,,,,,,,,,,,,,,,
Hackney Foodbank Centers ,Foodbank,,www.hackney.foodbank.org.uk/locations/,,Foodbank,Cost of Living,Practical Help,,All,Foodbank dependent ,,,,,,,,,,,,,,,,,,,,
Hackney Night shelter,Give homeless emergency shelter+hot meals+individual long term accom plan,,About us | Hackney Night Shelter,info@hackneydoorways.org.uk ,Homeless,Food,Poverty,,All,,,,,,,,,,,,,,,,,,,,,
Hackney Song Birds,Free Choir ,,https://www.hackneysongbirds.com/,,Choir / Singing,Free,Group,,,,,,,,,,,,,,,,,,,,,,,
Half Moon Theatre,After school free drama clubs ,,www.halfmoon.org.uk/,,Child,Fine Arts,Free,,School yrs 7-9,"E1 4FG, E2 6DT, E14 0GB, E1W 3HP, E1 5AW",,,,,,,,,,,,,,,,,,,,
Half Moon Youth Theatre Programmes ,10 week drama/theatre programme for children ,,www.halfmoon.org.uk/youth-theatre/,,Fine Arts,Child,Courses,,5-18(25) yrs ,E1 0ND (and other locations),,,,,,,,,,,,,,,,,,,,
Harry's Pals,"Counselling , Therapy and Short breaks for parents who have a child who is severely ill or disabled: diagnosed in the past five years.",,https://harryspals.co.uk/,,Child,Disability,Free,,Parents with child who is severely ill or disabled: diagnosed in the past five years.,Online and in person,,,,,,,,,,,,,,,,,,,,
HC1,Application link to get HC2 certificate (for free prescriptions) or HC3 (no free prescriptions but help with health costs),,https://services.nhsbsa.nhs.uk/apply-for-help-with-nhs-costs/apply-online,,Free,Health Problems ,Cost of Living,,Low income / Asylum seekers,Online,,,,,,,,,,,,,,,,,,,,
Headway East London,Supporting people affected by acquired brain injuries (ABI),,Headway East London – supporting people living with brain injury,,Multi Purpose,Adults,Mental Health,Monday – Friday 9am to 4.30pm,"Acquired brain injury survivors, their families and carers","Headway East London Timber Wharf, 238-240 Kingsland Road, London, E2 8AX",,,,,,,,,,,,,,,,,,,,
Healthier Together Hackney,Weight management and physical activity ,,www.better.org.uk/leisure-centre/london/hackney/britannia-leisure-centre/healthwise?gad_source=1&gclid=Cj0KCQiAoKeuBhCoARIsAB4WxtfzOTr9Eo5x_xAQ9WpcmdoFTm6CLhjc8uUGn5B2pqyFW_CHDe_kp3IaAnMaEALw_wcB&gclsrc=aw.ds,,Weight,Exercise,Adults,,18+  Hackney residents or those with Hackney GPs,Hackney,,,,,,,,,,,,,,,,,,,,
Healthier You,NHS Diabetes prevention pragramme,No,www.diabetes.org.uk/risk,,,Adults,,,All,,,,,,,,,,,,,,,,,,,,,
Healthy families Program ,Sports and physical activity ,,dr b,murude.mehmet@towerhamlets.gov.uk,Exercise,Directory,Family,,All,Activity dependent,,,,,,,,,,,,,,,,,,,,
Healthy Start Scheme ,Prepaid card for food and essentials ,,www.healthystart.nhs.uk/frequently-asked-questions/the-new-healthy-start-scheme/,,Food,UC - Third Party Deduction,Cost of Living,,Universal credit and disadvantaged ,Online ,,,,,,,,,,,,,,,,,,,,
Helen Bamber ,General welfare advice and support for those with trauma ,,www.helenbamber.org/,,Trauma,Advice,Multi-Purpose,,Survivors of Trafficking and Torture ,NW1 0TF,,,,,,,,,,,,,,,,,,,,
Hestia,"Modern slavery, well-being and emotional support",,www.hestia.org/,,Slavery,DV,Severe Mental Health,,All,EC3A 7DT,,,,,,,,,,,,,,,,,,,,
High Gate Counselling Centre ,Counselling (fee sliding scale) ,,highgatecounselling.org.uk/fees-registration/,,Counselling,Low Cost,Mental Health,,All,N6 5HX,,,,,,,,,,,,,,,,,,,,
Homerton Healthcare NHS Trust,Hackney Menopause Café,,www.menopausecafe.net/,,Social,Group,Women,"First Wednesday,5:30-7:30pm",All," WaterHouse Hoxton, 10 Orsman Rd, N1 5QJ",,,,,,,,,,,,,,,,,,,,
Hope for the Young,Mentoring programme for young refugees and asylum seekers (aged 16-25),,Home - Hope for the Young,,Mentoring,Refugee,Asylum,,refugees and asylum seekers (aged 16-25),Each young person referred to us will receive 2-3 hours of mentoring a week for 6 months in a local cafe or library,,,,,,,,,,,,,,,,,,,,
Host Nation,Befriending for asylum seekers and refugees ,,www.hostnation.org.uk/refer,,Befriending,Asylum,online resource,,18+ asylum seeker / refugee,Area dependent,,,,,,,,,,,,,,,,,,,,
Housing clinic,free advice on social and private housing matters,,www.lac.qmul.ac.uk,lac@qmul.ac.uk,Housing,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.towerhamlets.gov.uk/lgnl/community_and_living/community_safety__crime_preve/domestic_violence/VAWG-Service-Directory/Support_for_people_with_disabilities.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.towerhamlets.gov.uk/lgnl/community_and_living/community_safety__crime_preve/domestic_violence/VAWG-Service-Directory/Support_services_for_perpetrators_of_abuse_abusers.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hub of Hope,Recommends services for mental health/wellbeing based on area ,,hubofhope.co.uk/,,Mental Health,Directory,Wellness,,All,Service/area dependent,,,,,,,,,,,,,,,,,,,,
ICC Psychotherapy ,Psychotherapy (£60-£90),,iccpsychotherapy.org.uk/,,Mental Health,Counselling,Wellness,,All,Clinic dependent,,,,,,,,,,,,,,,,,,,,
Idea Store Courses,"Courses, welfare advice, children groups, warm hubs, computers ",,www.ideastore.co.uk/learning/course-search,,Courses,Warm Hub,Multi-Purpose,,All ,,,,,,,,,,,,,,,,,,,,,
Idea Store Learning,Low fee Courses ,,ebsontrackprospect-thc.tribal-ebs.com/Page/FindCourse,,Courses,Low Cost,Training,,All,Course dependent ,,,,,,,,,,,,,,,,,,,,
Immigration clinic,Advice on immigration queries,,www.lac.qmul.ac.uk,lac@qmul.ac.uk,Immigration,,,,,,,,,,,,,,,,,,,,,,,,,
In Focus,Film Group,No,www.mouththatroars.com,mouththatroars@btconnect.com,,Adults,Digital Inclusion,Tuesday(5-8pm),All,"MTR Studio, 29 Waterson Street, London E2 8HT",,,,,,,,,,,,,,,,,,,,
In Tune FC,Football for Mental Health,,Football for mental health - In Tune FC | Tower Hamlets Council,,Exercise,Mental Health,Free,,,E9,,,,,,,,,,,,,,,,,,,,
Individual Placement and Support in Primary Care ,Employment support for those with physical/mental health conditions ,,Individual Placement and Support in Primary Care,,Employment,Health Problems ,Mental Health,,TH Residence with physical/mental health conditions,E14 5GR,,,,,,,,,,,,,,,,,,,,
Institue of psychoanalysis ,Low fee psychoanalysis ,,psychoanalysis.org.uk/iopa-clinics/low-fee-scheme,,Mental Health,Counselling,Low Cost,,All,W9 2BT,,,,,,,,,,,,,,,,,,,,
Institue of Psychosynthesis,Psychotherapist Directory ,,www.psychosynthesis.org/practitioners/,,Directory,Mental Health,Counselling,,All,-,,,,,,,,,,,,,,,,,,,,
Institute for Arts in Therapy and Education,Art therapy Directory ,,www.artspsychotherapy.org/directory-of-therapists,,Fine Arts,Mental Health,Counselling,,All,-,,,,,,,,,,,,,,,,,,,,
Institute of Group Analysis,Therapy Directory ,,members.groupanalysis.org/FindaTherapist.aspx?region=lond,,Directory,Mental Health,Counselling,,All,Clinic dependent,,,,,,,,,,,,,,,,,,,,
Integral Yoga ,Yoga for those recovering or with health condition,,events.more-human.co.uk/event/1701176388246x928173437925195800,,Wellness,Health Problems ,Exercise,,All with long-term health condition or recovering from illness ,E2 9PJ,,,,,,,,,,,,,,,,,,,,
IntoUniversity Bow,"Academic support, mentoring and career insight opportunities ",,intouniversity.org/why-we-exist/,,Mentoring,Child,Youth,,Young people (7+ yrs),E3 5JL,,,,,,,,,,,,,,,,,,,,
Irish chaplaincy,"Support for Irish Travellers, seniors and prisoners ",,www.irishchaplaincy.org.uk/contact,,Senior,Prison,Irish,,Irish prisoners Travellers and seniors and immigrants ,Online/ NW1W 7ZT,,,,,,,,,,,,,,,,,,,,
Island Advice,Financial/housing advice ,,island-advice.org.uk/,,Housing,Finances,Advice,,All,E14 3PG,,,,,,,,,,,,,,,,,,,,
Island House Community centre,Bereavement Support Group,No,,,,Group,Bereavement,Last Friday of each month(9.30am - 11.30am),All  ,"Island House, Roserton Street, E14 3PG",,,,,,,,,,,,,,,,,,,,
Island House Community centre,English speaking class,No,,,Adults,Group,,Thursday(10am - 11am),,"Island House, Roserton Street, E14 3PG",,,,,,,,,,,,,,,,,,,,
Island House Community centre,Free community pilates session,No,facebook.com/islandhousecc,,Adults,Group,,Saturdays(9.30am- 10.30pm),,"Island House, Roserton Street, E14 3PG",,,,,,,,,,,,,,,,,,,,
Island House Community centre,Knit and Natter with craft club,No,,,Adults,Group,,mondays(12.30-3.30pm),,"Island House, Roserton Street, E14 3PG",,,,,,,,,,,,,,,,,,,,
Island House Community centre,Learn IT Skills,No,,cathy.weir@island-house.org,,Adults,Advice,Friday(11am-12.30pm),All,,,,,,,,,,,,,,,,,,,,,
Island House Community centre,Online Form filling support,No,,cathy.weir@island-house.org,,1to1,Advice,,All,"Island House, Roserton Street, E14 3PG",,,,,,,,,,,,,,,,,,,,
IT Online Drop in Session,Support in improving IT skills and assistance with job searching,No,,ittraining@wwtrust.co.uk,Adults,Adults,,Thursday(1-4pm),,,,,,,,,,,,,,,,,,,,,,
Ivy Street,"Growbaby-bank, volunteering, placement",,Ivy Street Family Centre – Hoxton,,Finances,Child,Free,,,Hoxton,,,,,,,,,,,,,,,,,,,,
Jesuit Refugee Service,Support for asylum seekers with no other support left,,www.jrsuk.net/get-help/,,Asylum,Advice,Mental Health,,Asylum seekers,E1W 2QT,,,,,,,,,,,,,,,,,,,,
Job Centre Disability Employment Advisor,Disability employment advisor @ job Centre ,,www.hackneylocaloffer.co.uk/kb5/hackney/localoffer/service.page?id=QBlRBXOFXns,,Disability,Employment,Advice,,All with disability ,E8 1EE,,,,,,,,,,,,,,,,,,,,
Kent Special Dentistry,Dentistry for those with extra needs,,www.kentcht.nhs.uk/service/dental-services/special-care-dentistry/,,Health Problems ,Disability,Learning Disability/Difficulty,,All,E14 8JH/E7 8QP/E16 1LQ/E11 4HX,,,,,,,,,,,,,,,,,,,,
Kooth,Online resource offering youths wellbeing tools & no-wait text service with counsellors,,Home - Kooth,contact@kooth.com,Child,Mental Health,Free,,All 10-18,Online ,,,,,,,,,,,,,,,,,,,,
Kooth,Offering free training webinars on childrens mental health for parents & professionals  ,,Home - Kooth,contact@kooth.com,Adults,Mental Health,Training,,Adults ,Online ,,,,,,,,,,,,,,,,,,,,
Kooth Counselling ,Online anonymous counselling for young people ,,www.kooth.com/,,Counselling,Youth,Online,,Young people ,Online ,,,,,,,,,,,,,,,,,,,,
Legal advice centre,Offers legal advice,,www.lac.qmul.ac.uk,lac@qmul.ac.uk,Legal Advice,,,,,,,,,,,,,,,,,,,,,,,,,
Legal advice team ,"Legal advice (housing, benefits, debt, welfare) ",,www.marywardlegal.org.uk/,,Legal Advice,Multi-Purpose,Housing,,All,E15 2TF,,,,,,,,,,,,,,,,,,,,
Legal support: Miles and partners,Legal advice ,,milesandpartners.com/our-services/,,Legal Advice,DV,Advice,,All,E1 7EZ,,,,,,,,,,,,,,,,,,,,
Legal TV Edwards,Solicitors (all claims) ,,tvedwards.com/ ,,Legal Advice,Benefits Advice,Advice,,All  ,East London ,,,,,,,,,,,,,,,,,,,,
LGBT youth groups,Service for LGBTQ+ youth and young adults,,,youth@elop.org,LGBTQ+,Youth,Wellness,,LGBTQ+ youth,Email for info,,,,,,,,,,,,,,,,,,,,
LGBT+ Newsletter TH,LGBTQ+ forum/newsletter/community projects ,,thlgbtvoices.wordpress.com/,,LGBTQ+,online resource,Multi-Purpose,,LGBTQ+/allies,TH ,,,,,,,,,,,,,,,,,,,,
LGBTQ+ counselling,Low cost Counselling service,,,counselling@elop.org,LGBTQ+,Counselling,Low Cost,,LGBTQ+,Email for info,,,,,,,,,,,,,,,,,,,,
LGBTQ+ forum,TH LGBTQ+ forum,,,lgbtforum@elop.org,LGBTQ+,Social,Online,,LGBTQ+,Email for info,,,,,,,,,,,,,,,,,,,,
LGBTQ+ volunteering,Volunteering opportunities,,,volunteer@elop.org,LGBTQ+,Volunteering,Free,,LGBTQ+,Email for info,,,,,,,,,,,,,,,,,,,,
Library of things,Borrowing,,www.libraryofthings.co.uk/catalogue/browse?locations=HW,,Cost of Living,Practical Help,Chronic Pain,,All (especially with chronic illness) ,E9 5JH,,,,,,,,,,,,,,,,,,,,
LIFT,"Offer job opportunities/apprenticeships/courses for tech, creative and sciences",,www.liftfutures.london/about,,Employment,Advice,Multi-Purpose,,All (especially underrepresented groups) ,"TH (Camden, Hackney and |Islington)",,,,,,,,,,,,,,,,,,,,
Limehouse Project,Information/advice/education/community support,,limehouseproject.org.uk/,,BAME,Advice,Multi-Purpose,,All (minority groups especially) ,E14 7HG,,,,,,,,,,,,,,,,,,,,
Limehouse Project,Limehouse Aid Foodbank,,,foodbank@limehouseaid.org,Foodbank,Volunteering,,Friday afternoon,,,,,,,,,,,,,,,,,,,,,,
LinkAge Plus,Connecting with neighbours in Poplar,No,www.neighboursinpoplar.com,enquiries@neighboursinpoplar.com,,Adults,Social,,Aged 50+,,,,,,,,,,,,,,,,,,,,,
Little Village,"Babybank, clothes, toys, equipment up till 5yo",,Home - Little Village,,Finances,Child,Free,,,,,,,,,,,,,,,,,,,,,,,
Little Village,Support for families in poverty ,,littlevillagehq.org/about-us/,,Poverty,Family,Practical Help,,Families with babies and children under 5 ,Support dependent ,,,,,,,,,,,,,,,,,,,,
London Buddhist Centre,Yoga ,,Yoga for Meditation | London Buddhist Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,
London Community Credit Union ,Banking ,,londoncu.com/,,Finances,Advice,Debt,,All in East London ,E2 9QH,,,,,,,,,,,,,,,,,,,,
London Playwire ,Community playing events to improve children's wellbeing ,,londonadventureplaygrounds.org.uk/news/ ,,Child,Wellness,Social,,"Children, adults interested in child wellbeing",E2 8EL ,,,,,,,,,,,,,,,,,,,,
London School of Osteopathy ,Osteopathy clinic (sliding scale) ,,lso.ac.uk/2024-fees-booking/,,Health Problems ,Low Cost,Wellness,,All,Clinic dependent,,,,,,,,,,,,,,,,,,,,
London Victim & Witness Service ,"Free confidential support about Your rights, the criminal justice system ",,londonvws.org.uk/,,Legal Advice,Free,Victim,,"Victims and witnesses of crime, family of ",London,,,,,,,,,,,,,,,,,,,,
London Young Refugees Group,Get support and meet new friends,No,www.wearespotlight.com,Carlos@wearespotlight.com,Child,Peer Support,,,11-19 years old,,,,,,,,,,,,,,,,,,,,,
Maia Service ,Support for girls/women experiencing (or in past() DV,,,Tosin.A@advancecharity.org.uk,DV,Women,Girls,,13-25 ,"Newham, TH, Hackney, Camden, Islington and Westminster ",,,,,,,,,,,,,,,,,,,,
Margaret's Fund,grants to women who are in financial need and who are in ill health.,,How We Help - Margarets Fund,,Finances,Women,Health Problems ,,,,,,,,,,,,,,,,,,,,,,,
Marie Curie Companions,Support for those who are terminally ill and families ,,mariecurie.org.uk/companions,mclondonreferrals@nhs.net,End of Life,Bereavement,Befriending,,All,N/A,,,,,,,,,,,,,,,,,,,,
Martial Arts youth class - St Paul's Church,Martial Arts,,www.radojunkie.com/service-page/mixed-youth-class?referral=service_list_widget,,Youth,Exercise,Fine Arts,,4-16 yrs,E3 5JL,,,,,,,,,,,,,,,,,,,,
Mary Ward Centre Courses,Courses ,,www.marywardcentre.ac.uk/,,Training,Courses,Education,,All,E15 2TF,,,,,,,,,,,,,,,,,,,,
Maryam Support Line,Charity support line (25mins virtual call) to help Muslim Women,,https://www.maryamsupportline.org.uk/,salam@maryamsupportline.org.uk ,Women,Muslim,Helpline,,Women,,,,,,,,,,,,,,,,,,,,,
Maslaha,"Projects in education, gender, criminal justice and health",,www.maslaha.org/,,Muslim,Multi-Purpose,Advice,,Muslim Communities ,E2 6HG,,,,,,,,,,,,,,,,,,,,
Massage Shala ,South East Asia inspired massage ,,massageshala.com/,,Wellness,Low Cost,Body therapy ,,All,E2 9PJ,,,,,,,,,,,,,,,,,,,,
MECC (Making Every Contact Count), London Damp and Mould Checklist ,,MECC Link,,Housing,Advice,Mould,,,,,,,,,,,,,,,,,,,,,,,
Meet Up,Community groups/projects of all kinds ,,www.meetup.com/find/?location=gb--17--London--London%20Borough%20of%20Tower%20Hamlets&source=EVENTS,,Social,Multi-Purpose,Social Isolation,,All,,,,,,,,,,,,,,,,,,,,,
Men's Gardening Group ,Gardening for wellbeing with gardening professionals ,,,elft.thrc@nhs.net,Somali,Bengali,Men,"Thursday, 10:00 -12;30 ",",Somali/Bengali speaking men only ","Mudchute farm , E14 3HP ",,,,,,,,,,,,,,,,,,,,
Men's Shed,Socialising for men,,menssheds.org.uk/,,Mental Health,Men,Group,,All men,Various locations,,,,,,,,,,,,,,,,,,,,
Mental Health Crisis Line TH,Helpline for mental health  ,,0207 771 5807,,Crisis,Mental Health,Helpline,,All,Phone,,,,,,,,,,,,,,,,,,,,
Mental Health Nurse,Mental Health Nurse@ Mission Practice ,,-- ,,Mental Health,NHS,Free,,All,-,,,,,,,,,,,,,,,,,,,,
Metro,Support for LGBTQ+ and sexual health ,,metrocharity.org.uk/services/,,LGBTQ+,Sexual Health,Advice,,All,Service dependent ,,,,,,,,,,,,,,,,,,,,
Metro Blind sport ,Bowls,,,maureen@gmail.com,Blind,Exercise,Social,,Blind/partially sighted people ,Paddington/Hammersmith,,,,,,,,,,,,,,,,,,,,
Metro Blind sport and Ealing swimming club ,1:1 swimming lesson ,,,fred@swimesc.co.uk,Blind,Exercise,1to1,,Blind/partially sighted people ,UB5 4AB,,,,,,,,,,,,,,,,,,,,
Mile End Park Play ,Free Soft Play Park ,,Soft play room launch,,Baby,Free,Exercise,12:30-3:30 pm ,Babies toddlers,Mile End park ,,,,,,,,,,,,,,,,,,,,
Mind,Support for people having Dyslexia,No,expressionswithart@yahoo.co.uk,,,Disability,Peer Support,,,"Christ Church 151 Manchester Road, London E14 3DR",,,,,,,,,,,,,,,,,,,,
Mind ,"Connecting Communities, Mental health support ",,www.mithn.org.uk,connecting.communities@mithn.org.uk,Mental Health,Severe Mental Health,,Monday-Friday(9am-5pm),All,"13 Whitethorn Street, London, E3 4DA",,,,,,,,,,,,,,,,,,,,
Mind Safe connections,Immeditate help for people who are experiencing suicidal thoughts - can call/self refer ,,"Safe Connections Community hub | Mind in Tower Hamlets, Newham and Redbridge",safeconnections@mindthnr.org.uk,Suicide,Mental Health,Helpline,,Adults 18+  ,,,,,,,,,,,,,,,,,,,,,
Mind Safe connections,"Those who experinced loss by sucide-group sessions /1-1 therapy, can self refer",,https://www.mindchwf.org.uk/services/suicide-bereavement/,safeconnections@mindthnr.org.uk,Adults,Therapy,Suicide,,"Adults 18+ - Live in City of London, Hackney, Waltham Forest, Newham, Tower Hamlets, Havering, Redbridge or Barking and Dagenham",,,,,,,,,,,,,,,,,,,,,
